algorithm,active_count,valid,u_bf,u_i,u_g,meets_bf_floor,meets_interference_ceiling,objective_gap_pct,subset,elapsed_seconds,enumeration_seconds,gurobi_model_seconds,direct_scan_seconds
Gurobi optimum,9,True,15.166587198403548,19.985939088955206,307.06537682014306,True,True,0.0,3 7 9 11 12 13 15 16 17,6.967283583,5.602428458,1.364855125,0.056316167000000306
H1,9,True,16.14124538608322,36.93971753570732,251.7363154402397,True,True,18.01865842149672,0 3 5 7 9 11 12 13 15,0.0003104169999996742,,,
H2,9,True,9.654131202518979,3.4007105503002713,115.8678972922278,True,True,62.26604949990995,1 4 6 7 9 12 13 14 16,0.0004752090000001985,,,
Coutino,9,True,15.166587198403548,19.985939088955206,307.06537682014306,True,True,0.0,3 7 9 11 12 13 15 16 17,0.0007020830000001865,,,
MISO-EE,9,True,15.166587198403548,19.985939088955206,307.06537682014306,True,True,0.0,3 7 9 11 12 13 15 16 17,0.001376416000000269,,,
Pareto-H2,9,True,9.654131202518979,3.4007105503002713,115.8678972922278,True,True,62.26604949990995,1 4 6 7 9 12 13 14 16,0.0013869170000004871,,,
H3-threshold-BF,9,True,17.259571976452694,43.756823446283136,302.72457577253925,True,True,1.4136406691485557,3 5 7 9 11 12 13 15 16,0.0003133340000003315,,,
H3-threshold-Int,9,True,9.654131202518979,3.4007105503002713,115.8678972922278,True,True,62.26604949990995,1 4 6 7 9 12 13 14 16,0.0009845420000003102,,,
H3-threshold-Gen,9,True,17.259571976452694,43.756823446283136,302.72457577253925,True,True,1.4136406691485557,3 5 7 9 11 12 13 15 16,0.0017284580000005434,,,
H3-Fast,9,True,8.782581038576161,3.519082082871492,53.973179487424645,True,True,82.42290288590944,1 2 4 5 6 7 8 14 16,0.0007353329999997271,,,
