target_obj,algorithm,win_share,winner_hits,samples,win_fraction,winner_rate
bf,Coutino,0.16666666666666666,1.0,3,0.05555555555555555,0.3333333333333333
bf,Frame-BF,1.1666666666666667,3.0,3,0.3888888888888889,1.0
bf,Frame-Gen,0.16666666666666666,1.0,3,0.05555555555555555,0.3333333333333333
bf,Gurobi-BF,1.1666666666666667,3.0,3,0.3888888888888889,1.0
bf,Gurobi-Gen,0.16666666666666666,1.0,3,0.05555555555555555,0.3333333333333333
bf,MISO-EE,0.16666666666666666,1.0,3,0.05555555555555555,0.3333333333333333
gen,Coutino,0.6666666666666666,3.0,3,0.2222222222222222,1.0
gen,Frame-BF,0.16666666666666666,1.0,3,0.05555555555555555,0.3333333333333333
gen,Frame-Gen,0.6666666666666666,3.0,3,0.2222222222222222,1.0
gen,Gurobi-BF,0.16666666666666666,1.0,3,0.05555555555555555,0.3333333333333333
gen,Gurobi-Gen,0.6666666666666666,3.0,3,0.2222222222222222,1.0
gen,MISO-EE,0.6666666666666666,3.0,3,0.2222222222222222,1.0
int,Frame-Int,1.5,3.0,3,0.5,1.0
int,Gurobi-Int,1.5,3.0,3,0.5,1.0
