sigma,bf_winner,interference_winner,general_winner,energy_proxy_winner,best_u_g,best_interference
0.001,Coutino,Pareto-H2,Coutino,MISO-EE,318403142620580.0,273.11592312157154
0.003,Coutino,Pareto-H2,Coutino,MISO-EE,318403749152117.1,273.11592312157154
0.01,Coutino,Pareto-H2,Coutino,MISO-EE,318405872019289.4,273.11592312157154
0.03,Coutino,Pareto-H2,Coutino,MISO-EE,318411937412339.25,273.11592312157154
0.1,Coutino,Pareto-H2,Coutino,MISO-EE,318433166967849.06,273.11592312157154
0.3,Coutino,Pareto-H2,Coutino,MISO-EE,318493828668157.3,273.11592312157154
1.0,Coutino,Pareto-H2,Coutino,MISO-EE,318706212616231.44,273.11592312157154
3.0,Coutino,Pareto-H2,Coutino,MISO-EE,319313606994145.56,273.11592312157154
10.0,Coutino,Pareto-H2,Coutino,MISO-EE,321446300519464.6,273.11592312157154
30.0,Coutino,Pareto-H2,Coutino,MISO-EE,327598376350222.2,273.11592312157154
100.0,Coutino,Pareto-H2,Coutino,MISO-EE,349828304936069.4,273.11592312157154
