T,cases,u_g_vs_best_T_mean,u_g_vs_best_T_p05,winner_rate,mean_gap_pct,coverage
50,4000,0.968907586410147,0.8951906228038463,0.2355,3.1092413589853063,1.0
100,4000,0.9254375202557085,0.8008127652732229,0.08325,7.456247974429147,1.0
25,4000,0.8972565886924683,0.7492910564063536,0.0465,10.274341130753166,1.0
10,4000,0.7427365638635494,0.4673705191410111,0.002,25.726343613645064,1.0
200,4000,0.6865142007104518,0.45616796927232606,0.0005,31.34857992895482,1.0
5,4000,0.6370464309752526,0.3140433222284913,0.0,36.29535690247474,1.0
2,4000,0.5309911159393623,0.18835840866000964,0.0,46.900888406063764,1.0
1,4000,0.4716060925241768,0.12831990378087565,0.0,52.83939074758232,1.0
0,4000,0.40388124104920703,0.10001444482792318,0.0,59.6118758950793,1.0
