data_profile,K,off_pct,cases,best_T_min,best_T_p05,best_T_p25,best_T_median,best_T_p75,best_T_p95,best_T_max,best_T_mean,best_T_std,best_T_iqr,best_T_cv,best_T_over_N_mean,best_T_over_K_mean
gaussian,250,75.0,1000,6,17.0,26.0,35.0,47.0,65.0,100,37.465,15.163730204462018,21.0,0.40474389975876196,0.037465000000000005,0.14986000000000002
gaussian,500,50.0,1000,12,26.0,38.0,50.0,63.0,82.04999999999995,123,51.5,17.471211842435064,25.0,0.339246831891943,0.05150000000000001,0.10300000000000002
rayleigh,250,75.0,1000,7,17.0,28.0,37.0,48.0,64.0,90,38.286,14.357239788146407,20.0,0.3749997332744712,0.038286,0.153144
rayleigh,500,50.0,1000,7,28.0,40.0,50.0,62.0,78.0,126,51.317,16.12446927838276,22.0,0.3142130147589057,0.05131700000000001,0.10263400000000002
rician,250,75.0,1000,10,31.0,51.75,72.0,102.0,168.0,250,81.568,41.39073046671886,50.25,0.5074383393820966,0.08156800000000002,0.32627200000000006
rician,500,50.0,1000,26,46.0,68.0,86.0,106.0,138.0,204,87.992,28.192636640810324,38.0,0.3203999981908619,0.08799199999999999,0.17598399999999997
nakagami,250,75.0,1000,9,21.0,32.0,42.0,54.0,70.0,105,43.881,15.643514904220169,22.0,0.3564985962995412,0.04388100000000001,0.17552400000000004
nakagami,500,50.0,1000,11,33.0,47.0,59.0,72.0,90.0,121,60.305,17.819301403323937,25.0,0.29548630135683507,0.060305000000000004,0.12061000000000001
lognormal,250,75.0,1000,6,16.0,25.0,35.0,46.0,63.049999999999955,90,36.514,14.917584869486694,21.0,0.40854425342298,0.036514000000000005,0.14605600000000002
lognormal,500,50.0,1000,7,23.0,38.0,50.0,64.0,84.0,109,51.419,17.980454269448693,26.0,0.34968502439659843,0.051419000000000006,0.10283800000000001
thin_tail,250,75.0,1000,4,20.0,30.0,41.0,50.25,69.0,97,41.467,15.344065672153237,20.25,0.3700307635506122,0.041467000000000004,0.16586800000000002
thin_tail,500,50.0,1000,11,32.0,45.0,58.0,72.0,94.0,136,59.426,18.842281060305716,27.0,0.3170713334282253,0.059426,0.118852
