data_profile,K,off_pct,best_fixed_T,best_fixed_u_g_mean,recommended_band_low,recommended_band_high,recommended_band_width,best_tested_T_median,best_tested_T_p05,best_tested_T_p95,best_tested_T_std,best_tested_T_cv,best_tested_T_over_N_mean,best_tested_T_over_K_mean,best_formula,best_formula_T,best_formula_fraction
gaussian,250,75.0,36,13992521.466052633,27,51,25,35.0,17.0,65.0,15.163730204462018,0.40474389975876196,0.037465000000000005,0.14986000000000002,T_0p05N,50,0.9520290273290811
gaussian,500,50.0,54,89556155.87986366,39,70,32,50.0,26.0,82.04999999999995,17.471211842435064,0.339246831891943,0.05150000000000001,0.10300000000000002,T_0p05N,50,0.9629165642566735
rayleigh,250,75.0,40,14004486.71623592,29,53,25,37.0,17.0,64.0,14.357239788146407,0.3749997332744712,0.038286,0.153144,T_0p05N,50,0.9549465557927347
rayleigh,500,50.0,52,89603511.6128832,40,68,29,50.0,28.0,78.0,16.12446927838276,0.3142130147589057,0.05131700000000001,0.10263400000000002,T_0p05N,50,0.9648044765604792
rician,250,75.0,70,6998099.792126857,49,94,46,72.0,31.0,168.0,41.39073046671886,0.5074383393820966,0.08156800000000002,0.32627200000000006,T_0p075N,75,0.9406401453169992
rician,500,50.0,81,63890080.57614515,61,112,52,86.0,46.0,138.0,28.192636640810324,0.3203999981908619,0.08799199999999999,0.17598399999999997,T_0p075N,75,0.9642095002969417
nakagami,250,75.0,46,26587315.37069934,31,61,31,42.0,21.0,70.0,15.643514904220169,0.3564985962995412,0.04388100000000001,0.17552400000000004,T_0p05N,50,0.9699786144454579
nakagami,500,50.0,62,217410623.38345453,44,81,38,59.0,33.0,90.0,17.819301403323937,0.29548630135683507,0.060305000000000004,0.12061000000000001,T_0p05N,50,0.970213998346583
lognormal,250,75.0,39,185342.85383718333,32,45,14,35.0,16.0,63.049999999999955,14.917584869486694,0.40854425342298,0.036514000000000005,0.14605600000000002,T_0p05N,50,0.8814334259092389
lognormal,500,50.0,55,545965.4277137909,44,65,22,50.0,23.0,84.0,17.980454269448693,0.34968502439659843,0.051419000000000006,0.10283800000000001,T_0p05N,50,0.9071807075326009
thin_tail,250,75.0,42,3593953.397372008,33,53,21,41.0,20.0,69.0,15.344065672153237,0.3700307635506122,0.041467000000000004,0.16586800000000002,T_0p05N,50,0.9397978681839432
thin_tail,500,50.0,59,17985847.08980622,46,75,30,58.0,32.0,94.0,18.842281060305716,0.3170713334282253,0.059426,0.118852,T_0p05N,50,0.9444770027412551
twdp,250,75.0,38,40706832.243841834,25,53,29,34.5,17.950000000000003,61.0,13.770443315634726,0.37983238582321194,0.036254,0.145016,T_0p05N,50,0.9693949923244285
twdp,500,50.0,48,339484650.2294622,33,65,33,45.0,23.0,74.0,15.023820125759332,0.3238729871035469,0.046388000000000006,0.09277600000000001,T_0p05N,50,0.977693728350611
